Source_object_id,Target_object_id,O2O_qualifier,Timestamp
Silo18,tr27,Aranged silo for truck,2024-05-07 15:58:15
tr34,Pcp6,Assigned truck for pickup plan,2024-05-07 16:16:26
tr49,Pcp5,Assigned truck for pickup plan,2024-05-07 16:24:38
tr10,Pcp3,Assigned truck for pickup plan,2024-05-07 16:31:39
tr36,Pcp2,Assigned truck for pickup plan,2024-05-07 16:42:38
tr18,Pcp6,Assigned truck for pickup plan,2024-05-07 17:52:43
tr22,Pcp9,Dropped truck from pickup plan,2024-05-08 07:42:08
tr15,Pcp3,Dropped truck from pickup plan,2024-05-08 08:49:26
Silo10,tr33,Aranged silo for truck,2024-05-08 08:59:37
tr1,Pcp10,Assigned truck for pickup plan,2024-05-08 09:18:05
tr50,Pcp10,Assigned truck for pickup plan,2024-05-08 09:40:51
tr3,Pcp2,Dropped truck from pickup plan,2024-05-08 10:00:02
tr9,Pcp6,Assigned truck for pickup plan,2024-05-08 10:13:24
tr48,Pcp2,Dropped truck from pickup plan,2024-05-08 10:25:31
tr21,Pcp8,Assigned truck for pickup plan,2024-05-08 10:54:41
Silo19,tr17,Aranged silo for truck,2024-05-08 11:12:44
tr3,Pcp10,Assigned truck for pickup plan,2024-05-08 11:25:02
tr15,Pcp4,Assigned truck for pickup plan,2024-05-08 11:53:32
tr22,Pcp4,Assigned truck for pickup plan,2024-05-08 12:01:35
tr48,Pcp6,Assigned truck for pickup plan,2024-05-08 12:34:59
Silo16,tr40,Aranged silo for truck,2024-05-08 13:28:30
Silo8,tr35,Aranged silo for truck,2024-05-08 13:40:57
tr39,Pcp6,Dropped truck from pickup plan,2024-05-08 13:44:14
Silo17,tr6,Aranged silo for truck,2024-05-08 13:51:40
tr44,Pcp6,Assigned truck for pickup plan,2024-05-08 14:24:23
tr37,Pcp5,Dropped truck from pickup plan,2024-05-08 14:39:28
tr5,Pcp6,Dropped truck from pickup plan,2024-05-08 15:48:18
Silo8,tr31,Aranged silo for truck,2024-05-08 16:02:32
tr43,Pcp4,Assigned truck for pickup plan,2024-05-08 16:05:59
tr39,Pcp10,Assigned truck for pickup plan,2024-05-08 16:26:57
Silo7,tr38,Aranged silo for truck,2024-05-08 16:37:16
Silo8,tr29,Aranged silo for truck,2024-05-08 16:41:38
Silo8,tr30,Aranged silo for truck,2024-05-08 16:51:57
Silo10,tr4,Aranged silo for truck,2024-05-08 16:56:35
tr8,Pcp7,Assigned truck for pickup plan,2024-05-08 19:12:18
Silo7,tr12,Aranged silo for truck,2024-05-09 07:35:35
tr13,Pcp6,Dropped truck from pickup plan,2024-05-09 07:53:12
tr41,Pcp9,Dropped truck from pickup plan,2024-05-09 08:12:06
tr25,Pcp5,Assigned truck for pickup plan,2024-05-09 08:13:26
tr37,Pcp7,Assigned truck for pickup plan,2024-05-09 08:32:38
tr5,Pcp3,Assigned truck for pickup plan,2024-05-09 09:04:53
tr16,Pcp6,Dropped truck from pickup plan,2024-05-09 09:07:50
tr10,Pcp1,Assigned truck for pickup plan,2024-05-09 09:15:32
tr49,Pcp6,Assigned truck for pickup plan,2024-05-09 10:03:08
Silo11,tr50,Aranged silo for truck,2024-05-09 10:22:54
tr16,Pcp7,Assigned truck for pickup plan,2024-05-09 10:32:16
tr13,Pcp10,Assigned truck for pickup plan,2024-05-09 10:41:57
Silo6,tr26,Aranged silo for truck,2024-05-09 10:50:41
tr41,Pcp5,Assigned truck for pickup plan,2024-05-09 10:59:05
tr2,Pcp2,Dropped truck from pickup plan,2024-05-09 11:14:33
Silo17,tr21,Aranged silo for truck,2024-05-09 11:22:36
tr32,Pcp1,Dropped truck from pickup plan,2024-05-09 11:34:58
tr45,Pcp6,Assigned truck for pickup plan,2024-05-09 11:53:59
tr42,Pcp6,Assigned truck for pickup plan,2024-05-09 11:59:06
tr27,Pcp3,Dropped truck from pickup plan,2024-05-09 12:03:15
tr11,Pcp2,Dropped truck from pickup plan,2024-05-09 13:31:13
tr19,Pcp6,Dropped truck from pickup plan,2024-05-09 14:14:40
Silo7,tr44,Aranged silo for truck,2024-05-09 14:42:12
Silo11,tr1,Aranged silo for truck,2024-05-09 14:59:47
tr33,Pcp4,Dropped truck from pickup plan,2024-05-09 15:08:14
tr32,Pcp3,Assigned truck for pickup plan,2024-05-09 15:20:11
tr46,Pcp6,Dropped truck from pickup plan,2024-05-09 15:29:53
Silo10,tr43,Aranged silo for truck,2024-05-09 15:50:03
tr27,Pcp8,Assigned truck for pickup plan,2024-05-09 15:59:31
tr34,Pcp5,Assigned truck for pickup plan,2024-05-09 16:20:18
tr24,Pcp9,Dropped truck from pickup plan,2024-05-09 16:27:40
tr6,Pcp8,Dropped truck from pickup plan,2024-05-09 16:29:34
tr2,Pcp5,Assigned truck for pickup plan,2024-05-09 16:35:57
tr18,Pcp1,Assigned truck for pickup plan,2024-05-09 16:36:47
tr19,Pcp2,Assigned truck for pickup plan,2024-05-09 16:54:55
Silo18,tr5,Aranged silo for truck,2024-05-09 16:58:04
tr33,Pcp5,Assigned truck for pickup plan,2024-05-09 17:18:36
tr47,Pcp3,Dropped truck from pickup plan,2024-05-09 17:34:19
tr11,Pcp10,Assigned truck for pickup plan,2024-05-09 17:45:57
tr46,Pcp7,Assigned truck for pickup plan,2024-05-09 18:23:33
tr23,Pcp4,Dropped truck from pickup plan,2024-05-10 07:32:25
tr17,Pcp5,Dropped truck from pickup plan,2024-05-10 07:46:31
tr7,Pcp5,Dropped truck from pickup plan,2024-05-10 08:06:48
Silo11,tr39,Aranged silo for truck,2024-05-10 08:50:42
tr28,Pcp10,Assigned truck for pickup plan,2024-05-10 09:19:14
tr24,Pcp5,Assigned truck for pickup plan,2024-05-10 09:46:00
tr20,Pcp10,Dropped truck from pickup plan,2024-05-10 09:55:30
tr30,Pcp1,Dropped truck from pickup plan,2024-05-10 10:14:20
tr47,Pcp10,Assigned truck for pickup plan,2024-05-10 10:30:18
tr7,Pcp6,Assigned truck for pickup plan,2024-05-10 10:36:43
tr6,Pcp8,Assigned truck for pickup plan,2024-05-10 10:47:14
