ocel_IoTobject_id;ocel_object_id;ocel_qualifier;ocel_time
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-03 10:36:39
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-03 10:36:39
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-03 10:36:39
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-03 10:36:39
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-03 10:36:39
WS13;tr11;Weight sensor measuring empty truck weight;2024-05-03 10:38:12
WS19;tr40;Weight sensor measuring loaded truck weight;2024-05-03 10:40:25
WS17;tr14;Weight sensor measuring empty truck weight;2024-05-03 10:43:53
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-03 11:23:57
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-03 11:23:57
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-03 11:23:57
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-03 11:23:57
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-03 11:23:57
WS03;tr21;Weight sensor measuring empty truck weight;2024-05-03 11:55:23
WS12;tr45;Weight sensor measuring empty truck weight;2024-05-03 13:30:09
WS18;tr43;Weight sensor measuring empty truck weight;2024-05-03 13:54:59
WS10;tr42;Weight sensor measuring empty truck weight;2024-05-03 14:03:03
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-03 14:05:22
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-03 14:05:22
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-03 14:05:22
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-03 14:05:22
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-03 14:05:22
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-03 14:43:02
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-03 14:43:02
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-03 14:43:02
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-03 14:43:02
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-03 14:43:02
WS01;tr39;Weight sensor measuring loaded truck weight;2024-05-03 14:50:06
WS08;tr47;Weight sensor measuring empty truck weight;2024-05-03 15:17:13
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-03 15:41:03
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-03 15:41:03
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-03 15:41:03
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-03 15:41:03
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-03 15:41:03
WS09;tr6;Weight sensor measuring loaded truck weight;2024-05-03 15:49:56
WS20;tr48;Weight sensor measuring empty truck weight;2024-05-03 15:51:43
WS09;tr33;Weight sensor measuring empty truck weight;2024-05-03 16:01:35
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-03 16:43:54
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-03 16:43:54
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-03 16:43:54
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-03 16:43:54
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-03 16:43:54
Temp10;Silo10;Temperature sensor measuring silo temperature;2024-05-03 16:48:49
Humd10;Silo10;Humidity sensor measuring silo humidity;2024-05-03 16:48:49
GrainTemp28;Silo10;1st Grain Termperature sensor located in the silo;2024-05-03 16:48:49
GrainTemp29;Silo10;2nd Grain Termperature sensor located in the silo;2024-05-03 16:48:49
GrainTemp30;Silo10;3rd Grain Termperature sensor located in the silo;2024-05-03 16:48:49
WS10;tr1;Weight sensor measuring loaded truck weight;2024-05-03 18:30:43
WS05;tr30;Weight sensor measuring empty truck weight;2024-05-03 19:10:40
WS08;tr29;Weight sensor measuring loaded truck weight;2024-05-06 07:48:55
WS16;tr9;Weight sensor measuring loaded truck weight;2024-05-06 09:09:42
WS16;tr18;Weight sensor measuring empty truck weight;2024-05-06 09:09:51
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-06 09:22:32
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-06 09:22:32
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-06 09:22:32
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-06 09:22:32
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-06 09:22:32
Temp3;Silo3;Temperature sensor measuring silo temperature;2024-05-06 09:40:45
Humd3;Silo3;Humidity sensor measuring silo humidity;2024-05-06 09:40:45
GrainTemp7;Silo3;1st Grain Termperature sensor located in the silo;2024-05-06 09:40:45
GrainTemp8;Silo3;2nd Grain Termperature sensor located in the silo;2024-05-06 09:40:45
GrainTemp9;Silo3;3rd Grain Termperature sensor located in the silo;2024-05-06 09:40:45
WS17;tr19;Weight sensor measuring empty truck weight;2024-05-06 09:49:07
WS01;tr28;Weight sensor measuring loaded truck weight;2024-05-06 10:00:06
WS13;tr10;Weight sensor measuring empty truck weight;2024-05-06 10:20:28
WS08;tr16;Weight sensor measuring loaded truck weight;2024-05-06 10:21:21
WS03;tr11;Weight sensor measuring empty truck weight;2024-05-06 10:33:03
WS02;tr7;Weight sensor measuring empty truck weight;2024-05-06 10:38:55
WS01;tr3;Weight sensor measuring empty truck weight;2024-05-06 11:03:41
WS08;tr27;Weight sensor measuring loaded truck weight;2024-05-06 11:18:45
