Source_object_id,Target_object_id,O2O_qualifier,Timestamp
tr38,Pcp4,Dropped truck from pickup plan,2024-05-08 14:15:54
tr44,Pcp3,Assigned truck for pickup plan,2024-05-08 14:25:13
tr14,Pcp3,Assigned truck for pickup plan,2024-05-08 14:25:50
tr19,Pcp5,Dropped truck from pickup plan,2024-05-08 15:20:34
tr1,Pcp6,Dropped truck from pickup plan,2024-05-08 15:40:15
tr29,Pcp4,Dropped truck from pickup plan,2024-05-08 15:50:01
tr42,Pcp4,Assigned truck for pickup plan,2024-05-08 15:55:17
tr11,Pcp9,Assigned truck for pickup plan,2024-05-08 16:07:53
tr38,Pcp10,Assigned truck for pickup plan,2024-05-08 16:24:32
tr35,Pcp9,Assigned truck for pickup plan,2024-05-08 16:39:50
tr46,Pcp5,Dropped truck from pickup plan,2024-05-08 16:48:02
tr13,Pcp1,Dropped truck from pickup plan,2024-05-08 16:56:49
tr31,Pcp6,Dropped truck from pickup plan,2024-05-08 17:09:38
tr12,Pcp1,Dropped truck from pickup plan,2024-05-08 17:13:50
tr30,Pcp8,Dropped truck from pickup plan,2024-05-08 17:38:54
tr45,Pcp2,Dropped truck from pickup plan,2024-05-08 18:30:14
tr33,Pcp7,Dropped truck from pickup plan,2024-05-08 19:05:56
tr32,Pcp9,Dropped truck from pickup plan,2024-05-09 08:14:36
tr19,Pcp8,Assigned truck for pickup plan,2024-05-09 08:18:37
tr7,Pcp8,Dropped truck from pickup plan,2024-05-09 08:20:30
tr29,Pcp7,Assigned truck for pickup plan,2024-05-09 08:20:52
tr28,Pcp2,Dropped truck from pickup plan,2024-05-09 08:30:09
tr22,Pcp1,Dropped truck from pickup plan,2024-05-09 08:30:35
tr47,Pcp4,Dropped truck from pickup plan,2024-05-09 09:38:45
tr12,Pcp9,Assigned truck for pickup plan,2024-05-09 09:43:01
tr33,Pcp7,Assigned truck for pickup plan,2024-05-09 09:43:53
tr1,Pcp3,Assigned truck for pickup plan,2024-05-09 10:30:38
tr32,Pcp4,Assigned truck for pickup plan,2024-05-09 10:35:08
tr46,Pcp5,Assigned truck for pickup plan,2024-05-09 10:40:05
tr34,Pcp9,Dropped truck from pickup plan,2024-05-09 10:50:07
tr22,Pcp2,Assigned truck for pickup plan,2024-05-09 11:01:28
tr28,Pcp10,Assigned truck for pickup plan,2024-05-09 11:01:42
tr7,Pcp8,Assigned truck for pickup plan,2024-05-09 11:14:36
tr43,Pcp3,Dropped truck from pickup plan,2024-05-09 11:30:44
tr30,Pcp9,Assigned truck for pickup plan,2024-05-09 11:35:24
tr13,Pcp5,Assigned truck for pickup plan,2024-05-09 11:36:22
tr47,Pcp1,Assigned truck for pickup plan,2024-05-09 11:38:15
tr39,Pcp9,Dropped truck from pickup plan,2024-05-09 13:27:29
tr31,Pcp10,Assigned truck for pickup plan,2024-05-09 13:51:47
tr24,Pcp1,Dropped truck from pickup plan,2024-05-09 14:15:23
tr37,Pcp1,Dropped truck from pickup plan,2024-05-09 14:52:21
tr34,Pcp7,Assigned truck for pickup plan,2024-05-09 14:54:46
tr45,Pcp8,Assigned truck for pickup plan,2024-05-09 15:04:16
tr43,Pcp7,Assigned truck for pickup plan,2024-05-09 15:09:13
tr17,Pcp8,Dropped truck from pickup plan,2024-05-09 15:59:55
tr2,Pcp10,Dropped truck from pickup plan,2024-05-09 16:17:00
tr9,Pcp8,Dropped truck from pickup plan,2024-05-09 16:17:28
tr24,Pcp7,Assigned truck for pickup plan,2024-05-09 16:29:48
tr8,Pcp7,Dropped truck from pickup plan,2024-05-09 16:41:36
tr25,Pcp5,Dropped truck from pickup plan,2024-05-09 16:50:10
tr39,Pcp8,Assigned truck for pickup plan,2024-05-09 17:11:42
tr40,Pcp10,Dropped truck from pickup plan,2024-05-09 18:12:48
tr41,Pcp3,Dropped truck from pickup plan,2024-05-09 19:14:14
tr37,Pcp8,Assigned truck for pickup plan,2024-05-10 07:26:20
tr44,Pcp3,Dropped truck from pickup plan,2024-05-10 09:08:42
tr9,Pcp9,Assigned truck for pickup plan,2024-05-10 09:20:29
tr6,Pcp9,Dropped truck from pickup plan,2024-05-10 09:27:27
tr48,Pcp5,Dropped truck from pickup plan,2024-05-10 09:44:45
tr17,Pcp3,Assigned truck for pickup plan,2024-05-10 10:27:02
tr2,Pcp8,Assigned truck for pickup plan,2024-05-10 10:29:04
tr25,Pcp3,Assigned truck for pickup plan,2024-05-10 10:44:12
tr41,Pcp9,Assigned truck for pickup plan,2024-05-10 10:46:01
tr40,Pcp8,Assigned truck for pickup plan,2024-05-10 10:59:45
tr8,Pcp3,Assigned truck for pickup plan,2024-05-10 11:23:23
tr27,Pcp8,Dropped truck from pickup plan,2024-05-10 12:02:31
tr16,Pcp10,Dropped truck from pickup plan,2024-05-10 12:07:33
tr44,Pcp4,Assigned truck for pickup plan,2024-05-10 12:09:06
tr5,Pcp5,Dropped truck from pickup plan,2024-05-10 13:56:39
tr6,Pcp4,Assigned truck for pickup plan,2024-05-10 14:00:34
tr20,Pcp7,Dropped truck from pickup plan,2024-05-10 14:11:09
tr42,Pcp4,Dropped truck from pickup plan,2024-05-10 15:54:47
tr19,Pcp8,Dropped truck from pickup plan,2024-05-10 16:50:39
tr27,Pcp3,Assigned truck for pickup plan,2024-05-10 17:08:47
tr48,Pcp5,Assigned truck for pickup plan,2024-05-10 17:30:11
tr16,Pcp3,Assigned truck for pickup plan,2024-05-10 17:47:45
tr21,Pcp5,Dropped truck from pickup plan,2024-05-10 17:56:25
tr5,Pcp8,Assigned truck for pickup plan,2024-05-10 18:36:43
tr4,Pcp3,Dropped truck from pickup plan,2024-05-13 07:35:10
tr49,Pcp7,Dropped truck from pickup plan,2024-05-13 07:49:09
tr11,Pcp9,Dropped truck from pickup plan,2024-05-13 08:09:25
tr36,Pcp10,Dropped truck from pickup plan,2024-05-13 08:25:05
tr42,Pcp5,Assigned truck for pickup plan,2024-05-13 09:05:47
tr50,Pcp10,Dropped truck from pickup plan,2024-05-13 09:42:40
tr20,Pcp4,Assigned truck for pickup plan,2024-05-13 09:50:07
tr46,Pcp5,Dropped truck from pickup plan,2024-05-13 10:04:16
tr26,Pcp9,Dropped truck from pickup plan,2024-05-13 10:12:18
tr47,Pcp1,Dropped truck from pickup plan,2024-05-13 10:44:22
tr19,Pcp3,Assigned truck for pickup plan,2024-05-13 11:44:49
tr3,Pcp9,Dropped truck from pickup plan,2024-05-13 11:56:16
tr46,Pcp10,Assigned truck for pickup plan,2024-05-13 12:10:50
tr50,Pcp7,Assigned truck for pickup plan,2024-05-13 12:15:21
tr36,Pcp5,Assigned truck for pickup plan,2024-05-13 12:19:58
tr31,Pcp10,Dropped truck from pickup plan,2024-05-13 13:26:59
tr21,Pcp2,Assigned truck for pickup plan,2024-05-13 13:30:22
tr23,Pcp1,Dropped truck from pickup plan,2024-05-13 13:48:30
tr4,Pcp7,Assigned truck for pickup plan,2024-05-13 13:53:34
tr47,Pcp2,Assigned truck for pickup plan,2024-05-13 14:01:35
tr14,Pcp3,Dropped truck from pickup plan,2024-05-13 14:45:35
tr38,Pcp10,Dropped truck from pickup plan,2024-05-13 14:57:04
tr10,Pcp5,Dropped truck from pickup plan,2024-05-13 14:58:56
tr29,Pcp7,Dropped truck from pickup plan,2024-05-13 14:59:56
tr11,Pcp3,Assigned truck for pickup plan,2024-05-13 15:28:02
tr49,Pcp7,Assigned truck for pickup plan,2024-05-13 15:31:50
tr26,Pcp1,Assigned truck for pickup plan,2024-05-13 15:54:23
tr32,Pcp4,Dropped truck from pickup plan,2024-05-13 15:57:52
tr31,Pcp8,Assigned truck for pickup plan,2024-05-13 16:23:58
tr39,Pcp8,Dropped truck from pickup plan,2024-05-13 16:38:08
tr3,Pcp10,Assigned truck for pickup plan,2024-05-13 16:43:54
tr28,Pcp10,Dropped truck from pickup plan,2024-05-13 17:07:20
tr23,Pcp8,Assigned truck for pickup plan,2024-05-13 17:40:26
tr38,Pcp9,Assigned truck for pickup plan,2024-05-13 18:55:12
tr29,Pcp8,Assigned truck for pickup plan,2024-05-13 19:03:36
tr10,Pcp8,Assigned truck for pickup plan,2024-05-14 07:21:11
tr25,Pcp3,Dropped truck from pickup plan,2024-05-14 07:59:10
tr14,Pcp8,Assigned truck for pickup plan,2024-05-14 08:15:06
tr33,Pcp7,Dropped truck from pickup plan,2024-05-14 10:11:32
tr28,Pcp5,Assigned truck for pickup plan,2024-05-14 10:26:41
tr43,Pcp7,Dropped truck from pickup plan,2024-05-14 10:33:59
tr39,Pcp8,Assigned truck for pickup plan,2024-05-14 10:39:37
tr25,Pcp3,Assigned truck for pickup plan,2024-05-14 10:58:16
tr32,Pcp7,Assigned truck for pickup plan,2024-05-14 11:20:52
tr9,Pcp9,Dropped truck from pickup plan,2024-05-14 11:56:51
tr33,Pcp3,Assigned truck for pickup plan,2024-05-14 12:06:51
tr43,Pcp9,Assigned truck for pickup plan,2024-05-14 12:27:43
tr34,Pcp7,Dropped truck from pickup plan,2024-05-14 15:24:57
tr44,Pcp4,Dropped truck from pickup plan,2024-05-14 15:52:14
tr1,Pcp3,Dropped truck from pickup plan,2024-05-14 16:26:14
tr9,Pcp10,Assigned truck for pickup plan,2024-05-14 16:29:53
tr6,Pcp4,Dropped truck from pickup plan,2024-05-14 16:41:47
tr30,Pcp9,Dropped truck from pickup plan,2024-05-14 16:54:21
tr7,Pcp8,Dropped truck from pickup plan,2024-05-14 17:18:35
tr34,Pcp9,Assigned truck for pickup plan,2024-05-14 17:34:04
tr12,Pcp9,Dropped truck from pickup plan,2024-05-15 07:42:51
tr22,Pcp2,Dropped truck from pickup plan,2024-05-15 07:58:42
tr8,Pcp3,Dropped truck from pickup plan,2024-05-15 08:09:00
tr27,Pcp3,Dropped truck from pickup plan,2024-05-15 09:08:01
tr7,Pcp3,Assigned truck for pickup plan,2024-05-15 09:14:42
tr18,Pcp9,Dropped truck from pickup plan,2024-05-15 09:53:19
tr30,Pcp3,Assigned truck for pickup plan,2024-05-15 10:07:25
tr36,Pcp5,Dropped truck from pickup plan,2024-05-15 10:07:59
tr1,Pcp10,Assigned truck for pickup plan,2024-05-15 10:32:25
tr44,Pcp2,Assigned truck for pickup plan,2024-05-15 10:42:14
tr47,Pcp2,Dropped truck from pickup plan,2024-05-15 10:51:13
tr35,Pcp9,Dropped truck from pickup plan,2024-05-15 11:14:54
tr22,Pcp2,Assigned truck for pickup plan,2024-05-15 11:15:18
tr12,Pcp1,Assigned truck for pickup plan,2024-05-15 11:22:09
tr2,Pcp8,Dropped truck from pickup plan,2024-05-15 11:28:02
tr23,Pcp8,Dropped truck from pickup plan,2024-05-15 11:40:58
tr36,Pcp3,Assigned truck for pickup plan,2024-05-15 12:08:45
tr16,Pcp3,Dropped truck from pickup plan,2024-05-15 12:12:37
tr8,Pcp2,Assigned truck for pickup plan,2024-05-15 12:26:42
tr13,Pcp5,Dropped truck from pickup plan,2024-05-15 13:36:24
tr6,Pcp1,Assigned truck for pickup plan,2024-05-15 13:45:34
tr35,Pcp4,Assigned truck for pickup plan,2024-05-15 13:51:52
tr18,Pcp3,Assigned truck for pickup plan,2024-05-15 13:55:09
tr40,Pcp8,Dropped truck from pickup plan,2024-05-15 14:05:02
tr27,Pcp1,Assigned truck for pickup plan,2024-05-15 14:18:16
tr48,Pcp5,Dropped truck from pickup plan,2024-05-15 15:26:18
tr47,Pcp4,Assigned truck for pickup plan,2024-05-15 15:27:31
tr42,Pcp5,Dropped truck from pickup plan,2024-05-15 15:30:01
tr16,Pcp1,Assigned truck for pickup plan,2024-05-15 15:34:44
tr46,Pcp10,Dropped truck from pickup plan,2024-05-15 15:37:02
tr50,Pcp7,Dropped truck from pickup plan,2024-05-15 15:40:39
tr26,Pcp1,Dropped truck from pickup plan,2024-05-15 15:44:10
tr2,Pcp2,Assigned truck for pickup plan,2024-05-15 15:53:59
tr41,Pcp9,Dropped truck from pickup plan,2024-05-15 15:59:27
tr24,Pcp7,Dropped truck from pickup plan,2024-05-15 16:16:09
tr37,Pcp8,Dropped truck from pickup plan,2024-05-15 16:18:22
tr3,Pcp10,Dropped truck from pickup plan,2024-05-15 16:22:12
tr10,Pcp8,Dropped truck from pickup plan,2024-05-15 16:31:47
tr40,Pcp1,Assigned truck for pickup plan,2024-05-15 16:32:15
tr48,Pcp8,Assigned truck for pickup plan,2024-05-15 16:57:21
tr19,Pcp3,Dropped truck from pickup plan,2024-05-15 17:18:21
tr23,Pcp4,Assigned truck for pickup plan,2024-05-15 17:28:09
tr13,Pcp7,Assigned truck for pickup plan,2024-05-15 17:30:49
tr25,Pcp3,Dropped truck from pickup plan,2024-05-16 08:00:44
tr10,Pcp10,Assigned truck for pickup plan,2024-05-16 08:02:50
tr3,Pcp4,Assigned truck for pickup plan,2024-05-16 08:03:50
tr31,Pcp8,Dropped truck from pickup plan,2024-05-16 08:09:54
tr17,Pcp3,Dropped truck from pickup plan,2024-05-16 08:49:41
tr50,Pcp8,Assigned truck for pickup plan,2024-05-16 09:00:58
tr15,Pcp9,Dropped truck from pickup plan,2024-05-16 09:06:53
tr19,Pcp9,Assigned truck for pickup plan,2024-05-16 09:13:14
tr20,Pcp4,Dropped truck from pickup plan,2024-05-16 09:50:11
tr42,Pcp1,Assigned truck for pickup plan,2024-05-16 09:57:11
tr26,Pcp1,Assigned truck for pickup plan,2024-05-16 10:02:52
tr46,Pcp8,Assigned truck for pickup plan,2024-05-16 10:19:51
tr28,Pcp5,Dropped truck from pickup plan,2024-05-16 10:40:31
tr24,Pcp8,Assigned truck for pickup plan,2024-05-16 10:56:25
tr41,Pcp7,Assigned truck for pickup plan,2024-05-16 11:14:08
tr25,Pcp10,Assigned truck for pickup plan,2024-05-16 11:16:47
tr15,Pcp8,Assigned truck for pickup plan,2024-05-16 11:17:17
tr31,Pcp5,Assigned truck for pickup plan,2024-05-16 11:33:59
tr17,Pcp9,Assigned truck for pickup plan,2024-05-16 11:42:35
tr37,Pcp7,Assigned truck for pickup plan,2024-05-16 12:08:03
tr33,Pcp3,Dropped truck from pickup plan,2024-05-16 13:33:41
tr29,Pcp8,Dropped truck from pickup plan,2024-05-16 13:50:19
tr5,Pcp8,Dropped truck from pickup plan,2024-05-16 13:52:25
tr39,Pcp8,Dropped truck from pickup plan,2024-05-16 13:53:02
tr43,Pcp9,Dropped truck from pickup plan,2024-05-16 14:04:06
tr20,Pcp2,Assigned truck for pickup plan,2024-05-16 14:14:48
tr21,Pcp2,Dropped truck from pickup plan,2024-05-16 14:16:51
tr4,Pcp7,Dropped truck from pickup plan,2024-05-16 14:19:19
tr38,Pcp9,Dropped truck from pickup plan,2024-05-16 14:19:20
tr9,Pcp10,Dropped truck from pickup plan,2024-05-16 15:22:22
tr49,Pcp7,Dropped truck from pickup plan,2024-05-16 15:27:42
