ocel_event_id;ocel_object_id;ocel_qualifier
weigh_empty_trucktr44;tr44;Truck weighed
load_trucktr44;tr44;cargo load for truck
weigh_empty_trucktr20;tr20;Truck weighed
weigh_loaded_trucktr38;tr38;Truck weighed
print_w_tickettr29;tr29;Printed weighing ticket for pickup plan
input_tally_sheettr29;tr29;Tally Sheet for pickup plan
assign_trs_Pcp9;tr48;Pickup plan trucks assignment
assign_trs_Pcp5;tr19;Pickup plan trucks assignment
eval_trs_exittr33_Pcp6;tr33;Exit evaluation for truck
eval_trs_exittr12_Pcp1;tr12;Exit evaluation for truck
eval_trs_exittr29_Pcp1;tr29;Exit evaluation for truck
assign_trs_Pcp3;tr41;Pickup plan trucks assignment
load_trucktr46;tr46;cargo load for truck
weigh_empty_trucktr10;tr10;Truck weighed
weigh_empty_trucktr36;tr36;Truck weighed
load_trucktr20;tr20;cargo load for truck
weigh_loaded_trucktr5;tr5;Truck weighed
weigh_empty_trucktr11;tr11;Truck weighed
load_trucktr10;tr10;cargo load for truck
assign_trs_Pcp2;tr3;Pickup plan trucks assignment
weigh_loaded_trucktr45;tr45;Truck weighed
weigh_loaded_trucktr39;tr39;Truck weighed
assign_trs_Pcp10;tr21;Pickup plan trucks assignment
print_w_tickettr38;tr38;Printed weighing ticket for pickup plan
input_tally_sheettr38;tr38;Tally Sheet for pickup plan
assign_trs_Pcp3;tr26;Pickup plan trucks assignment
assign_trs_Pcp8;tr27;Pickup plan trucks assignment
input_tally_sheettr9;tr9;Tally Sheet for pickup plan
print_w_tickettr9;tr9;Printed weighing ticket for pickup plan
input_tally_sheettr45;tr45;Tally Sheet for pickup plan
print_w_tickettr45;tr45;Printed weighing ticket for pickup plan
eval_trs_exittr45_Pcp1;tr45;Exit evaluation for truck
weigh_loaded_trucktr34;tr34;Truck weighed
eval_trs_exittr9_Pcp6;tr9;Exit evaluation for truck
weigh_empty_trucktr48;tr48;Truck weighed
eval_trs_exittr38_Pcp1;tr38;Exit evaluation for truck
input_tally_sheettr5;tr5;Tally Sheet for pickup plan
print_w_tickettr5;tr5;Printed weighing ticket for pickup plan
weigh_loaded_trucktr23;tr23;Truck weighed
assign_trs_Pcp7;tr33;Pickup plan trucks assignment
weigh_loaded_trucktr30;tr30;Truck weighed
input_tally_sheettr39;tr39;Tally Sheet for pickup plan
print_w_tickettr39;tr39;Printed weighing ticket for pickup plan
load_trucktr11;tr11;cargo load for truck
load_trucktr36;tr36;cargo load for truck
weigh_empty_trucktr3;tr3;Truck weighed
weigh_loaded_trucktr43;tr43;Truck weighed
weigh_empty_trucktr19;tr19;Truck weighed
load_trucktr19;tr19;cargo load for truck
eval_trs_exittr39_Pcp1;tr39;Exit evaluation for truck
