IoT_object_id,Object_id,IoT2O_qualifier,Timestamp
WS14,tr2,Weight sensor measuring empty truck weight,2024-05-06 15:00:16
WS07,tr33,Weight sensor measuring loaded truck weight,2024-05-06 15:28:07
Temp19,Silo19,Temperature sensor measuring silo temperature,2024-05-06 15:34:40
Humd19,Silo19,Humidity sensor measuring silo humidity,2024-05-06 15:34:40
GrainTemp55,Silo19,1st Grain Termperature sensor located in the silo,2024-05-06 15:34:40
GrainTemp56,Silo19,2nd Grain Termperature sensor located in the silo,2024-05-06 15:34:40
GrainTemp57,Silo19,3rd Grain Termperature sensor located in the silo,2024-05-06 15:34:40
WS11,tr31,Weight sensor measuring loaded truck weight,2024-05-06 16:18:09
WS20,tr17,Weight sensor measuring loaded truck weight,2024-05-06 16:39:52
WS12,tr43,Weight sensor measuring empty truck weight,2024-05-06 16:46:08
Temp10,Silo10,Temperature sensor measuring silo temperature,2024-05-06 16:57:25
Humd10,Silo10,Humidity sensor measuring silo humidity,2024-05-06 16:57:25
GrainTemp28,Silo10,1st Grain Termperature sensor located in the silo,2024-05-06 16:57:25
GrainTemp29,Silo10,2nd Grain Termperature sensor located in the silo,2024-05-06 16:57:25
GrainTemp30,Silo10,3rd Grain Termperature sensor located in the silo,2024-05-06 16:57:25
Temp7,Silo7,Temperature sensor measuring silo temperature,2024-05-06 17:12:56
Humd7,Silo7,Humidity sensor measuring silo humidity,2024-05-06 17:12:56
GrainTemp19,Silo7,1st Grain Termperature sensor located in the silo,2024-05-06 17:12:56
GrainTemp20,Silo7,2nd Grain Termperature sensor located in the silo,2024-05-06 17:12:56
GrainTemp21,Silo7,3rd Grain Termperature sensor located in the silo,2024-05-06 17:12:56
WS01,tr38,Weight sensor measuring empty truck weight,2024-05-06 17:26:38
Temp18,Silo18,Temperature sensor measuring silo temperature,2024-05-06 17:32:16
Humd18,Silo18,Humidity sensor measuring silo humidity,2024-05-06 17:32:16
GrainTemp52,Silo18,1st Grain Termperature sensor located in the silo,2024-05-06 17:32:16
GrainTemp53,Silo18,2nd Grain Termperature sensor located in the silo,2024-05-06 17:32:16
GrainTemp54,Silo18,3rd Grain Termperature sensor located in the silo,2024-05-06 17:32:16
Temp8,Silo8,Temperature sensor measuring silo temperature,2024-05-06 18:16:00
Humd8,Silo8,Humidity sensor measuring silo humidity,2024-05-06 18:16:00
GrainTemp22,Silo8,1st Grain Termperature sensor located in the silo,2024-05-06 18:16:00
GrainTemp23,Silo8,2nd Grain Termperature sensor located in the silo,2024-05-06 18:16:00
GrainTemp24,Silo8,3rd Grain Termperature sensor located in the silo,2024-05-06 18:16:00
WS09,tr47,Weight sensor measuring empty truck weight,2024-05-06 19:12:01
